,SAMPLE_NUMBER,SAMPLE_TYPE,BATCH_ID,DATE_VISITED,ATLAS_CODE,X_COORD,Y_COORD,Ag_XRF,Al_XRF,As_XRF,Ba_XRF,Bi_XRF,Br_XRF,Ca_XRF,Cd_XRF,Ce_XRF,Cl_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Fe_XRF,Ga_XRF,Ge_XRF,Hf_XRF,Hg_AAS,Hg_XRF,I_XRF,In_XRF,K_XRF,La_XRF,LOI450,Mg_XRF,Mn_XRF,Mo_XRF,Na_XRF,Nb_XRF,Nd_XRF,Ni_XRF,P_XRF,Pb_XRF,pH,Rb_XRF,S_XRF,Sb_XRF,Sc_XRF,Se_XRF,Si_XRF,Sm_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Te_XRF,Th_XRF,Ti_XRF,Tl_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Yb_XRF,Zn_XRF,Zr_XRF,DRIFTS,LANDUSES,CLASTS,SITE_CONTAMINANTS,SOIL_TEXTURE,COMMENTS,elevation,slope,aspect,plan.curve,profile.curve,twi,mrvbf,mrrtf,population,landuse
331,610361,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,261230,671200,#0.25,65067,8.7,424,#0.25,24,7147,#0.25,72.38,NA,24,109,2,78.2,38536.94,12.2,6.1,4.9,NA,NA,2,NA,9961.2,35.17,10.28,5427.9,836.46,2.3,7419,13,NA,55.2,2051.08,229.7,NA,28.8,NA,2.7,11,0.8,262921,NA,20.51,127.5,#0.6,#0.5,6.2,5521.4,0.6,1.8,129,1.7,19.9,NA,189.5,256.6,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated),manufactured metal; bricks; coal tailings;,silt,"small red patches in a. metal in a. brick in s only. coal tailings more abundant in s than a. sst in a angular and white. drift map indicates glacial till. carbonaceous clasts in a hor,",61.79999924,0.041461159,0.26836586,-0.009604529,-0.000420471,9.105089188,2.956730366,1.47636342,3016,21
332,610362,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,253600,659350,#0.25,86756,5.7,424,0.8,24.8,10506.09,#0.25,60.66,NA,26,93,1,30.7,58609.72,17.9,1.8,4.4,NA,NA,9,NA,12451.5,20.21,8.55,10252.7,1285.67,2.1,7419,29.5,NA,37.8,1745.6,58.9,NA,45.5,NA,#0.5,16,0.9,244708,NA,4.22,119.5,#0.6,#0.5,7,10557.2,0.6,2,144,#0.35,19.9,NA,195,251.3,"soil, regolith(observed at site)",NA,sandstone (undifferentiated),bricks; coal tailings;,silty clay,"sandy patches (white) in s. flint large and shiny. red brick and coal in s. drift map indicates made ground and clay with flints. carbonaceous clasts in a hor,",38,0.115997292,4.80693388,-0.001777452,-0.000443822,7.709317684,0.477613747,0.228311166,3110,21
333,610363,SHALLOW SOIL (5 -20CM),10179,8/6/2001,GLAS,239230,674730,#0.25,50784,8.2,315,#0.25,24.9,2144.1,#0.25,57.14,NA,10,66,8,31.2,25598.04,8.8,4.4,3.5,NA,NA,10,NA,11123.34,35.17,11.06,4221.7,193.62,1.6,7419,7.5,NA,29,1440.12,117.6,NA,27.4,NA,1.4,8,0.6,267124,NA,8.58,66.2,#0.6,#0.5,4,3159.36,0.7,0.8,82,2.4,12.2,NA,86.5,130.9,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated); siliceous rocks;,coal tailings; clear glass;,silt,sst in a is sub rd. silicate in both horizons is sub r. taken in levengrove pk. coal tailings in s and red brick in a. s had or sandy patches. drift map indicates raised beach.,3.099999905,0.016277382,2.399645329,-0.003217518,-0.000167556,9.838675499,4.949798107,2.848996878,76,4
334,610364,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,254730,662230,#0.25,87814,14.6,478,#0.25,13.9,5860.54,#0.25,78.24,NA,24,128,1,70.4,46859.8,18.1,6.7,5.9,NA,NA,4,NA,12534.51,40.92,10.36,6031,627.34,2.2,7419,20.1,NA,56,1352.84,210,NA,49.6,NA,1.5,13,1,257317,NA,23.52,100.9,#0.6,#0.5,8.4,7200,#0.25,1.9,143,1.3,22.1,NA,193,271.4,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated),glazed china; coal tailings;,silty clay,"sandstone small and sub ang. crbac angular.coal stuff in a and s. white china in a. s horizon also had or/grey colouration. drfit map suggests fluvioglacial material. carbonaceous clasts in a hor,",17.10000038,0.018025797,6.227686405,0.003693466,3.34E-05,9.315361023,4.890029907,0.453169167,1202,1
335,610365,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,260280,671230,#0.25,67183,5.3,433,0.7,16.2,4717.02,#0.25,60.66,NA,20,83,2,28.6,38816.7,9.9,2.2,5.2,NA,NA,4,NA,11704.41,29.42,5.86,6031,797.73,1.6,7419,12.8,NA,27.9,1265.56,58.8,NA,33.4,NA,#0.5,10,0.5,273195,NA,5.57,94.7,#0.6,#0.5,4.5,5053.78,#0.25,1.3,84,1.1,16.5,NA,88.2,232.5,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),siliceous rocks,bricks,silt,silicate subrounded to sub ang. brick abundant in s. drift map indicates alluvium.taken from grass in housing estate.,51.40000153,0.021928186,3.959237337,0.00327234,-9.17E-05,10.07662487,5.342578411,0.074443601,1936,21
336,610367,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,262660,669710,#0.25,76176,8.1,343,#0.25,20.6,4145.26,#0.25,73.55,NA,17,96,4,34.9,37068.2,12.6,3.2,6.9,NA,NA,4,NA,10127.22,36.32,9.33,4221.7,433.72,1.4,7419,12,NA,27.9,1483.76,90.8,NA,33.2,NA,1.2,12,0.9,268992,NA,7.64,81.2,#0.6,#0.5,6.8,5281.6,#0.25,1.9,94,1.9,17.3,NA,94.4,280.2,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),sandstone (undifferentiated),bricks,silty clay,in s sst is orange and sub ang. taken from grass in a residential area. orange patches in a and sst is sub ang. orange sand patches in s also. red brick present in both a and s.,79.09999847,0.08978565,0.714650095,0.005911562,0.000165775,8.562224388,0.184855133,0.831521332,5102,21
337,610368,SHALLOW SOIL (5 -20CM),10179,8/6/2001,GLAS,239600,674790,#0.25,64009,62.1,457,#0.25,12.6,6289.36,#0.25,68.86,NA,27,181,1,125.1,41194.66,12.3,4.1,3.7,NA,NA,1,NA,11206.35,34.02,8.18,8443.4,387.25,2.1,7419,15.4,NA,56.6,1483.76,306.9,NA,35,NA,8.9,13,0.6,264322,NA,61.42,135.4,#0.6,#0.5,6.3,5077.76,0.6,1.1,127,0.8,19.8,NA,178.4,162.6,"soil, regolith(observed at site)",recreational area(observed at site),igneous rock and igneous sediment (hierarchy),bricks; coal tailings; clear glass;,silt,in a and s clasts sub r. drift map indicates made grnd. taken from grassy area at edge of hockey pitch.,3.799999952,0.027287912,2.645169973,-0.000478005,0.000152876,10.4103632,4.989429474,1.944178343,76,4
338,610369,SHALLOW SOIL (5 -20CM),10179,8/6/2001,GLAS,238320,675840,#0.25,67183,9.5,445,0.8,14,4717.02,#0.25,68.86,NA,17,78,4,39.1,34200.66,12.1,3.6,3.9,NA,NA,4,NA,15605.88,36.32,6.61,9649.6,619.6,1.4,7419,10,NA,34.4,1047.36,96.8,NA,49.6,NA,1.1,11,0.4,273662,NA,10.03,111,#0.6,#0.5,5.6,3944.71,#0.25,1.2,91,#0.35,16,NA,120.9,196,"soil, regolith(observed at site)",recreational area(observed at site),siliceous rocks; sandstone (undifferentiated);,bricks; coal tailings;,silty clay,silicate is sub ang in both horizons. sst is sub ang in a. red brick and coal tailing in both horizons. or sa patches in s. drift map indicates raised beach. sample taken from grassy area in sch. grds.,24.79999924,0.016123137,1.051650047,-0.05812455,0.00025713,8.634062767,2.600218773,3.568570137,2172,20
339,610370,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,261860,670150,0.9,68241,25.4,766,0.7,18.4,12006.96,1,84.1,NA,51,155,1,346.1,46090.46,20.3,24.4,6,NA,NA,1,NA,10210.23,44.38,15.29,6031,681.56,4,7419,12.5,NA,124.8,1920.16,1019,NA,32.8,NA,6.8,17,2.1,247977,NA,190.04,189.1,#0.6,#0.5,7.8,4658.12,1.6,#0.3,202,1.6,30.3,NA,579.5,203.5,"soil, regolith(observed at site)",recreational area(observed at site),NA,bricks; coal tailings;,silty clay,sst in s is or and sub ang. taken from a park. red brick and coal tailings in both a and s.,60.5,0.008062097,4.193241596,-0.054117128,-0.000263667,8.84719944,5.656321526,1.811821699,3398,21
340,610371,SHALLOW SOIL (5 -20CM),10179,8/6/2001,GLAS,239970,674360,#0.25,60306,14.7,484,0.6,39.3,4216.73,#0.25,80.59,NA,29,98,3,47,35739.34,9.8,3.9,3.6,NA,NA,3,NA,12451.5,42.07,7.85,8443.4,565.38,1.9,7419,11.2,NA,50.7,1701.96,172.7,NA,35.8,NA,1.2,12,0.4,257317,NA,18.96,143.9,#0.6,#0.5,5.6,4340.38,#0.25,1.2,114,1.4,18.7,NA,112.7,200.7,"soil, regolith(observed at site)",urban open space(observed at site); recreational area(observed at site);,NA,bricks; coal tailings;,silt,"taken from grass in front of castle next to river.  a hor - black, or patches.  s hor - sst db and angular.  s hor - red brick and coal. shale clasts in a hor,",8.899999619,0.28926006,3.205478668,0.007791043,-0.002640245,7.272325516,2.62E-05,0.000526405,76,19
341,610372,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,262720,670700,#0.25,61893,5.7,326,0.6,7.6,15294.58,#0.25,52.45,NA,26,86,1,46.7,45251.18,10.9,2.1,4.8,NA,NA,1,NA,10127.22,23.66,7.3,8443.4,580.88,1.9,7419,10.4,NA,38.5,872.8,56.7,NA,30,NA,1.6,11,0.5,265256,NA,6.5,127.7,#0.6,#0.5,5.1,4784.01,#0.25,0.7,104,1.6,15.4,NA,93.8,207,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated); schist;,bricks; coal tailings;,silt,"sst in both is sub ang. red brick in s only, and coal tailings in both a and s. drift map indicates glacial till. taken from centre of grassy park.",73.5,0.007210973,0.588005543,-0.032002054,7.08E-05,9.032755852,5.872032166,3.720805407,3740,21
342,610373,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,256830,661300,#0.25,85169,33.3,465,#0.25,21.4,6789.65,#0.25,84.1,NA,31,116,1,51.9,52874.64,16.3,4.7,5.9,NA,NA,5,NA,10625.28,38.62,11.15,5427.9,1277.92,2.2,7419,17.5,NA,51.9,1309.2,132.5,NA,44.2,NA,1.5,16,1.2,255916,NA,7.33,101.5,#0.6,#0.5,8.3,6630.47,1.2,2.5,153,0.8,25.6,NA,185.8,269.9,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),siltstone (undifferentiated); siliceous rocks; chert;,bricks; bulk industrial waste; clear glass;,silt,"sample taken from grass verge. siltstone flat and silicate sub ang in a. ironstone flat and sst sub rounded. drfit map suggests glaicial till.red beick in both a and s. glass in a, asphalt in a and s. chert in a rounded. sst is sub ang.",24.79999924,0.025233503,5.300391197,0.025601523,-0.000425747,8.645296097,4.588709831,1.686389685,5245,20
343,610374,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,260650,671350,#0.25,63480,6.2,334,#0.25,23.6,5360.25,#0.25,60.66,NA,20,84,3,37.7,37977.42,10.3,2.4,4.6,NA,NA,4,NA,10044.21,30.57,8.86,4824.8,844.2,2.2,7419,10.7,NA,29,2182,149,NA,29.4,NA,1.4,10,0.6,274129,NA,8.99,88.7,#0.6,#0.5,5.1,4772.02,0.7,0.8,96,#0.35,16,NA,117.3,223.7,"soil, regolith(observed at site)",commercial and residential(observed at site),mylonite,bricks,silty clay,"mylonite in a is ang and in s is subrounded. sample taken from grass verge of road, drift map indicates glacial till. red brick contamination in a. white sandy patches.",52.29999924,0.004123066,4.467403412,-0.06676843,-0.000184704,9.71305275,5.078373909,0.067991048,1936,21
344,610375,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,254780,660020,#0.25,69828,5.5,374,0.9,15.4,4931.43,#0.25,60.66,NA,20,100,3,44.1,39446.16,10.2,3.2,3.9,NA,NA,3,NA,10542.27,28.27,7.75,6031,851.95,1.8,7419,13,NA,36.1,2443.84,94,NA,37.7,NA,#0.5,10,0.6,270860,NA,9.41,83.5,#0.6,#0.5,5.5,5071.77,#0.25,1,97,1,15.8,NA,186.9,246,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated),glazed china; coal tailings;,silty clay,"red brick in a and s. sandstone sub ang. white pottery and purple. or sst grains in s. coal tailings in s. drift map indicates coarse gravel. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",21.20000076,0.019644352,0.257323772,-0.005097771,-0.000259694,9.043312073,3.839744568,0.051997777,2097,4
345,610376,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,255800,662750,#0.25,63480,6.3,293,#0.25,17,1572.34,#0.25,73.55,NA,10,97,6,35.2,26577.2,10.1,3.5,7.5,NA,NA,3,NA,8051.97,40.92,9.05,3015.5,147.16,1.1,7419,12.2,NA,20.9,1047.36,135.1,NA,19.7,NA,1.2,9,0.8,272261,NA,12.94,55.4,1.6,#0.5,5,5815.15,#0.25,1.3,84,1.3,15,NA,61.2,349.3,"soil, regolith(observed at site)",recreational area(observed at site),NA,bricks; coal tailings;,silt,"red brick in a, coal tailings in a. 2 s augers are grey sand. drift  map suggests morraine (e2).",23.20000076,0.040140614,0.329624593,0.008489456,-0.000519697,8.664510727,5.633484364,3.959106684,219,1
346,610377,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,260200,669840,#0.25,64009,4.1,350,#0.25,7.4,3073.21,#0.25,64.17,NA,14,69,1,20.1,35389.64,9.4,1.1,5.8,NA,NA,2,NA,12783.54,31.72,3.11,6634.1,472.44,1.8,7419,13.8,NA,25.6,1003.72,23.6,NA,37,NA,#0.5,10,0.3,276931,NA,1.72,85.5,#0.6,#0.5,5,5053.78,#0.25,1.4,71,1.1,16.5,NA,65.2,299.3,"soil, regolith(observed at site)",urban open space(observed at site),sandstone (undifferentiated),bricks; bulk industrial waste;,sand,"sst, in a is sub rounded. clsi frags in s.  silicate in s is sub ang, flat. red brick in s, tarmac and coal tailings in s. made ground indicated on drift map.",68.59999847,0.113743521,4.189985752,0.002008657,0.00048109,7.932590485,0.381191552,0.373813719,3728,21
347,610378,SHALLOW SOIL (5 -20CM),10179,8/6/2001,GLAS,238650,675760,#0.25,60835,38.6,431,#0.25,16,6289.36,#0.25,59.48,NA,19,136,1,89.9,39725.92,10.5,2.2,4.9,NA,NA,1,NA,12783.54,29.42,7.31,10252.7,456.96,2,7419,13.2,NA,42.2,1483.76,270.9,NA,36.9,NA,7.1,12,0.6,264322,NA,47.5,118.2,#0.6,#0.5,5.3,5011.82,0.6,0.7,107,#0.35,18.1,NA,155.5,175,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),sandstone (undifferentiated),bricks; coal tailings; clear glass;,sand,sst sub r in both horizons. drift map indicates raised beach present. red brick in s and coal tailings in a. glass in s. taken from grass verge in flower beds.,25.29999924,0.01486497,1.227772355,-0.020064559,-8.17E-05,7.898508549,1.971397877,2.79283762,2172,21
348,610379,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,256780,659380,#0.25,67712,8.7,374,#0.25,11.1,5217.31,#0.25,71.21,NA,24,123,3,112.4,38886.64,10.2,4.3,8.8,NA,NA,2,NA,10459.26,35.17,6.06,4824.8,867.44,1.4,7419,10.7,NA,88.8,1134.64,87.6,NA,32.2,NA,1.7,13,0.5,263855,NA,13.46,96.9,#0.6,#0.5,6.6,4346.38,#0.25,1.5,107,4.1,18.8,NA,179.3,375.1,"soil, regolith(observed at site)",urban open space(observed at site),sandstone (undifferentiated),bricks; coal tailings;,silt,sst ang in a and rounded in s. sample from grass verge in residential area. or sandy patches in s. made ground on drift map.,52.90000153,0.041207716,6.038206577,0.006733945,-0.000197143,8.136178017,0.143228695,2.01661253,3847,21
349,610380,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,261590,670630,#0.25,67183,7.3,317,#0.25,24.6,4502.61,#0.25,61.83,NA,18,72,4,46.1,34410.48,11.7,3.7,6.2,NA,NA,7,NA,9629.16,31.72,10.66,4221.7,728.03,1.8,7419,12.6,NA,30.3,1571.04,94.6,NA,28.1,NA,1.1,10,0.9,268525,NA,6.08,82.3,#0.6,#0.5,5.6,5887.09,#0.25,1.6,99,1.9,15.7,NA,101.8,265.1,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated),bricks; plastic; coal tailings;,silt,drift map indicates glacial till. sst in a is sub rounded.,74.19999695,0.038980231,0.394791275,0.008168658,0.000260824,8.818616867,5.758994102,3.602330923,3398,21
350,610381,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,262210,671560,#0.25,61893,6.5,377,#0.25,33.7,4216.73,#0.25,51.28,NA,11,73,3,33.3,35599.46,10.5,2.7,6.1,NA,NA,7,NA,9297.12,25.97,9.34,5427.9,387.25,1.3,7419,13.9,NA,27.9,1789.24,80.7,NA,24.4,NA,1.3,9,0.9,269926,NA,10.24,77.4,#0.6,#0.5,4.7,6576.52,#0.25,0.8,96,#0.35,13.9,NA,90.6,278.9,"soil, regolith(observed at site)",urban open space(observed at site),NA,bricks,silty clay,"sst in s is sub rounded, red brick in both a and s. taken from grass verge next to side of road. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",64.30000305,0.022356953,0.463647604,0.001431103,-0.000191854,10.0714922,5.521298885,3.76726985,116,1
351,610382,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,255760,662320,#0.25,80937,7.2,340,#0.25,25.5,2215.57,#0.25,75.9,NA,21,111,2,370,42663.4,12.6,5.2,7.4,NA,NA,5,NA,10210.23,38.62,8.17,4221.7,534.41,2.1,0,13.6,NA,37.5,1134.64,151.3,NA,40.1,NA,1.1,11,1,262921,NA,12.31,75.2,#0.6,#0.5,8.4,5413.48,0.8,2.7,108,#0.35,19.3,NA,111.8,355.1,"soil, regolith(observed at site)",recreational area(observed at site); deciduous woodland established(observed at site);,sandstone (undifferentiated),coal tailings,silt,"sst orange and rounded in a and or and subrounded in s. coal tailings in a. drift map suggests glacial deposits. coal subrounded in a and sub ang in s. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",29.60000038,0.037718035,2.129395485,0.021974109,1.08E-05,8.544032097,0.3511931,1.84401989,219,1
352,610383,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,254740,659290,#0.25,84640,11,544,#0.25,23.7,15008.7,#0.25,79.41,NA,26,103,2,72.3,46859.8,16.5,3,4.5,NA,NA,1,NA,13696.65,37.47,12.85,9046.5,805.48,1.8,7419,13.3,NA,54.4,1003.72,142.7,NA,52.9,NA,2.3,15,0.9,245642,NA,15.32,129.6,#0.6,#0.5,7.6,6018.98,0.8,2,139,1.7,23.6,NA,144.9,200.3,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),chert,bricks; coal tailings;,silty clay,chert in a sub ang. evaporite in s sub rounded. drift map indicates clay with flints.,33.29999924,0.078993373,5.170386791,-0.001528375,-0.00047455,8.100622177,1.581871152,0.042013053,4732,21
353,610384,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,256620,657680,#0.25,89401,4.3,331,#0.25,11.1,4645.55,#0.25,89.97,NA,17,88,3,27.5,38327.12,14.7,2.2,7.7,NA,NA,2,NA,9961.2,45.53,7.51,3618.6,565.38,0.9,0,15,NA,27.7,741.88,65.1,NA,34.2,NA,#0.5,12,0.6,261520,NA,9.1,70,#0.6,#0.5,8.4,5887.09,#0.25,1.9,91,1.4,20.3,NA,80.3,325.1,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated),coal tailings,silty clay,"school play area.  coal tailings in a and s (more in a).  a hor - sst subang.  s hor - sst subang! carbonaceous clasts in a hor,  carbonaceous clasts in s hor",60.09999847,0.069314994,0.203045458,-0.001017959,0.000109876,8.729597092,0.806501448,0.2716465,4157,21
354,610385,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,262260,669750,#0.25,75118,7.2,335,#0.25,18.7,2858.8,#0.25,70.04,NA,18,77,4,32.7,37278.02,11.3,3.6,7.1,NA,NA,5,NA,9878.19,38.62,7.6,3618.6,495.68,1.2,7419,11.9,NA,29,1047.36,95.9,NA,33.3,NA,1.3,11,1.1,266190,NA,10.03,70.5,#0.6,#0.5,5.8,5269.6,0.6,1.5,92,1,16.9,NA,96.7,284.1,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),sandstone (undifferentiated),pottery; bricks; coal tailings;,silty clay,"sst is or and sub ang. taken from grassy patch in residential area.red and or brick in a. or patches in s. white pottery present. carbonaceous clasts in a hor,",79.09999847,0.065031134,6.221724033,0.007223529,0.000546104,8.159930229,0.662825704,0.273782045,5102,21
355,610386,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,254260,662310,#0.25,68241,7.8,340,#0.25,14.6,3216.15,#0.25,63,NA,17,96,1,25.4,44691.66,11.7,2.9,7.4,NA,NA,5,NA,9629.16,29.42,5.33,4824.8,712.54,1.8,7419,15.9,NA,30.4,1440.12,78.9,NA,31.6,NA,#0.5,10,0.8,269459,NA,5.05,75.6,#0.6,#0.5,6.1,5989,0.6,1.6,98,#0.35,18.6,NA,88.8,328.2,"soil, regolith(observed at site)",recreational area(observed at site),NA,coal tailings,silty clay,sandstone in s sub rounded. or/white sandy patches in both a and s. drift map suggests glacial drift. asphalt frags in a.,20.10000038,0.074992314,1.74469769,0.001364406,-4.22E-05,8.569026947,3.401922703,0.643033981,1202,4
356,610387,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,256300,658190,#0.25,67183,5.7,541,#0.25,51.9,16223.69,1.3,78.24,NA,52,150,1,128.8,53084.46,13.6,4.8,3.8,NA,NA,6,NA,10376.25,36.32,14.54,10252.7,1177.24,3.5,7419,19.1,NA,87.2,3054.8,499.2,NA,34.1,NA,3.9,18,1,236302,NA,12.83,230.8,#0.6,#0.5,6.8,7511.74,1.1,1.6,267,1.8,27.5,NA,315.4,194.3,"soil, regolith(observed at site)",urban open space(observed at site),mylonite,glazed china; coal tailings;,silt,quartzite rounded. coal in s horizon. glazed brick in s. sample taken from grass verge. drift map suggests glacial till present. carbonaceous clasts in s hor,47.40000153,0.035156537,0.258771211,0.002199223,-0.000216946,9.022886276,2.926055193,0.180640161,3440,21
357,610388,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,260210,669320,#0.25,77234,6.1,344,#0.25,13.2,2715.86,#0.25,71.21,NA,18,75,3,29.9,40705.08,13.4,2.8,5.5,NA,NA,2,NA,11206.35,35.17,7.64,4221.7,635.09,1.2,7419,11.5,NA,29.9,1047.36,87.4,NA,39.4,NA,#0.5,11,0.8,270393,NA,6.91,87.9,#0.6,#0.5,6.5,4861.95,#0.25,1.3,83,0.9,17.5,NA,83.9,259.9,"soil, regolith(observed at site)",recreational area(observed at site),limestone,bricks; coloured glass;,medium clay,"sst is sub rounded in s. crbac flat in s. red brick in both a and s. coloured glass in a only.drift map indicates bedrock present. sst in a is sub r, and crbac is flat. carbonaceous clasts in a hor,",72,0.041593324,2.526929617,0.014525869,-0.000842338,8.628666878,1.947061181,4.47112608,3728,21
358,610389,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,256710,658110,0.6,60306,10.1,385,0.6,10.8,4931.43,#0.25,60.66,NA,16,200,4,53,36158.98,9.1,1.9,3.5,NA,NA,3,NA,11040.33,29.42,5.12,6634.1,441.46,1.8,7419,10.8,NA,31.6,1352.84,108.7,NA,35,NA,#0.5,8,0.7,277398,NA,9.51,91.1,#0.6,#0.5,5.2,4010.66,0.6,0.8,76,#0.35,15.3,NA,200.8,198.6,"soil, regolith(observed at site)",recreational area(observed at site),NA,bricks; coal tailings;,silt,sst sub ang. taken from school grounds. i auger clsi with or sand coal and red brick in s. made ground indicated on drift map.,52.79999924,0.035340618,3.926990747,-0.017819088,-0.00124766,9.66016674,2.863627434,0.186227456,3440,20
359,610390,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,260790,669250,1.9,74060,27.4,1379,1.1,15.5,15794.87,2.4,97,NA,59,162,1,597.5,50216.92,21.1,31.1,5.3,NA,NA,1,NA,10210.23,48.98,11.19,7237.2,1014.6,5.2,7419,13.6,NA,153.1,1876.52,1143.3,NA,37.9,NA,28.9,18,1.8,247043,NA,223.67,254.6,#0.6,#0.5,9.6,4328.39,2.2,1.8,203,4,35.7,NA,1101.7,207.6,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),sandstone (undifferentiated),bricks; coal tailings; coloured glass;,silt,bottom of auger is very black in a horizon. coal tailings in a. sst in a sub ang. text of s is also sandy and gravely. clear glass in s. tarmac stuff in s. slat clasts in s. red bick present. depth of s-only one to 45cm rest about 30cm. dri,78.09999847,0.052421018,6.149373531,0.013594985,-0.000172604,8.465559006,1.37525785,0.54657501,3728,21
360,610391,SHALLOW SOIL (5 -20CM),10179,8/6/2001,GLAS,238840,674820,#0.25,50784,10.2,324,#0.25,23.3,2001.16,#0.25,52.45,NA,14,52,6,23.1,26856.96,7.8,3.6,3.2,NA,NA,12,NA,10708.29,29.42,8.19,4824.8,348.52,#0.4,7419,7,NA,26.8,1265.56,82.7,NA,30.2,NA,#0.5,7,0.4,287672,NA,6.4,66,1.4,#0.5,3.5,2961.53,#0.25,1.1,66,#0.35,12.2,NA,68,140.1,"soil, regolith(observed at site)",recreational area(observed at site),igneous rock and igneous sediment (hierarchy); siliceous rocks;,coal tailings,silt,"silicate in a is sub r. in s silictat is ange, sst sub r. or sst in s. both horizons had coal tailings. taken from park land next to river. drift map indicates raised beach present. shale clasts in s hor,",13.19999981,0.08878842,3.402918577,0.013662761,0.000715189,8.716983795,0.097061403,0.832246363,68,20
361,610392,SHALLOW SOIL (5 -20CM),10179,8/4/2001,GLAS,261260,670840,#0.25,71415,6.1,335,#0.25,17.7,4502.61,#0.25,65.35,NA,16,86,3,39,36158.98,10.2,2.5,4.9,NA,NA,2,NA,11040.33,36.32,6.8,5427.9,596.36,#0.4,7419,11.8,NA,29,1309.2,88.7,NA,31.7,NA,1.5,12,0.5,254048,NA,6.5,87.5,#0.6,#0.5,5.2,5809.16,#0.25,1,108,1.6,16.3,NA,88.7,234.5,"soil, regolith(observed at site)",recreational area(observed at site),NA,coal tailings,silt,sandstone is sub ang and yellow. coal tailings in s only.sample taken from edge of cricket pitch.driftmap-e1,69,0.018598966,3.774344206,0.012312033,-0.000788609,9.436642647,5.673579216,3.421946287,3398,21
362,610393,SHALLOW SOIL (5 -20CM),10179,8/3/2001,GLAS,256270,659880,#0.25,74060,8.5,414,#0.25,20.9,6503.77,#0.25,75.9,NA,21,101,4,51.9,36019.1,13,5.1,6.1,NA,NA,5,NA,10210.23,39.77,7.88,4824.8,565.38,2.6,7419,13.9,NA,40.6,1963.8,175.2,NA,34.4,NA,1.8,12,0.7,270860,NA,20.41,104.6,#0.6,#0.5,6.5,5287.59,#0.25,1.5,120,1,19.3,NA,148.6,263,"soil, regolith(observed at site)",recreational area(observed at site),sandstone (undifferentiated),coal tailings,silt,"taken from front gdn. colour of lb/or. coal in s horizon. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",35.59999847,0.033602804,5.10946846,0.00469492,-0.000197489,8.783312798,2.928396463,3.485767841,3847,21
